label,area,eccentricity,solidity,equivalent_diameter,mean_intensity,perimeter
49,3086.0,0.5479990393775497,0.8644257703081233,62.68346859462,0.87780976,245.81118318204307
50,3463.0,0.8846621516616053,0.7390098164746052,66.40202213350034,0.89645153,303.19595949289334
51,702.0,0.9975762872875632,0.9335106382978723,29.896724911001275,0.9084923,214.97056274847716
52,749.0,0.9978750585186923,0.9292803970223326,30.881327999401787,0.8740912,228.72792206135787
53,3684.0,0.9350377462491348,0.8107394366197183,68.48806087782263,0.883332,324.33809511662423
54,151.0,0.9625637925419901,0.9096385542168675,13.86575534383214,0.82602113,60.72792206135786
55,88.0,0.9989375578434911,0.8148148148148148,10.585134856802455,0.8759587,85.62132034355965
56,26.0,0.9871897123696988,0.8387096774193549,5.753627391751592,0.9371976,23.621320343559642
57,16.0,0.9648119846208285,0.8888888888888888,4.51351666838205,0.8174313,13.621320343559642
58,412.0,0.6175498187726898,0.9217002237136466,22.903595622322865,0.80996245,84.5269119345812
59,175.0,0.995601524631254,0.9067357512953368,14.927053303604616,0.91010636,93.31370849898475
60,141.0,0.9853388060070832,0.9155844155844156,13.398760233979036,0.85507625,64.10660171779821
61,87.0,0.9989532727403173,0.8130841121495327,10.524820207108489,0.8978177,84.82842712474618
62,92.0,0.7457769303287497,0.8598130841121495,10.823032759612019,0.7332917,40.14213562373095
63,131.0,0.9977000599728637,0.8675496688741722,12.914889870235298,0.8834186,89.86396103067892
64,175.0,0.9986566748508147,0.8620689655172413,14.927053303604616,0.94117326,117.86396103067892
65,88.0,0.9989755610615925,0.8073394495412844,10.585134856802455,0.87561697,85.62132034355965
66,94.0,0.9868825256791539,0.9791666666666666,10.940041919714261,0.79630476,51.242640687119284
67,89.0,0.9989901528357824,0.8165137614678899,10.645107772184812,0.8782479,86.82842712474618
68,117.0,0.9994015981637612,0.8068965517241379,12.205286835384658,0.95869285,114.82842712474618
69,89.0,0.9989653229669464,0.8090909090909091,10.645107772184812,0.8821366,86.82842712474618
70,2258.0,0.9579905242795158,0.8605182926829268,53.618792340111476,0.8959868,255.71067811865476
71,88.0,0.998938052111811,0.8073394495412844,10.585134856802455,0.8887627,84.62132034355965
72,930.0,0.9276208034521619,0.8823529411764706,34.41093978088511,0.89268905,144.64570696119915
73,1067.0,0.9565974989297078,0.6265413975337639,36.85846706297507,0.9080201,208.66904755831214
74,511.0,0.9976160367411626,1.0,25.507359866510456,0.94720817,179.31370849898477
75,425.0,0.6934152216033372,0.8126195028680688,23.26213245840639,0.7954666,96.04163056034261
76,67.0,0.8010485526809582,0.8701298701298701,9.23618154310838,0.7445096,30.9350288425444
